image,title,rating,description,ingredients,total time
https://pinchofyum.com/wp-content/uploads/Mushroom-Gnocchi-8-Square-183x183.jpg,Gnocchi with Creamy Mushroom Sauce,4.4,"Delicious pillowy gnocchi swimming in a silky creamy sauce that’s laced with thyme and loaded with little slips of garlic butter-browned mushrooms! Oh, this is so good.",cream thyme garlic gnocchi white button babi bella mushroom chicken broth butter parmesan chees,35 minutes
https://pinchofyum.com/wp-content/uploads/Applesauce-1-4-Square-183x183.jpg,Easy Instant Pot Applesauce,4.3,"My go-to method for homemade applesauce! Just apples, water, and cinnamon. A perfect kid recipe for an afternoon snack!",appl cinnamon stick,10 minutes
https://pinchofyum.com/wp-content/uploads/Slow-Cooker-Texas-Chili_HighRes-012-scaled-Square-183x183.jpg,Slow Cooker Texas Style Chili,4.5,"This shredded beef Texas chili is rich and hearty, made with 8 simple ingredients! Just saucy chunks of tender beef that shreds apart with the lightest pull of a fork!",cumin chip cornbread chili powder crush fire roast tomato garlic brown sugar sour cream green onion yellow onion cheddar chees green chile,8 hours 15 minutes
https://pinchofyum.com/wp-content/uploads/Tomato-Soup-3-1-1368x2048-Square-183x183.jpg,5 Ingredient Tomato Soup,4.4,"A simple 5 ingredient tomato soup made with butter, onion, and canned San Marzano tomatoes. Based on the Marcella Hazan tomato sauce recipe. This hits the cozy vibes just right.",smash garlic yellow onion tomato,50 minutes
https://pinchofyum.com/wp-content/uploads/Garlic-Bread-11-Square-183x183.jpg,House Favorite Garlic Bread,4.5,"My go-to for garlic bread! French bread, butter, fresh garlic, garlic powder, Parmesan, and parsley. It’s so simple and so ridiculously good.",parsley garlic garlic powder loaf french bread parmesan chees,15 minutes
https://pinchofyum.com/wp-content/uploads/Pumpkin-Muffins-with-Cream-Cheese-Filling-10-Square-183x183.jpg,Pumpkin Muffins with Maple Cream Cheese Filling,4.6,"Pumpkin muffins are getting a lightly crunchy, sparkly cinnamon sugar topping, and then stuffed to the brim with maple cream cheese whipped cream. YUM. ",cream allpurpos flour granul sugar milk cream chees brown sugar cinnamon egg pumpkin pure vanilla bake soda mapl syrup,50 minutes
https://pinchofyum.com/wp-content/uploads/Swedish-Pancackes-1-2-Square-183x183.jpg,Swedish Pancakes,4.3,"My go-to recipe for Swedish pancakes! Buttery, tender, and thick enough to sink your teeth into but with a nice thin, delicate, lacy edge.",granul sugar egg plain yogurt whip cream flour whole milk lingonberri blueberri jam butter,20 minutes
https://pinchofyum.com/wp-content/uploads/Fried-Egg-Tacos-4-Square-183x183.jpg,Roasted Corn and Fried Egg Tacos,4.2,"Roasted Corn and Fried Egg Tacos with a crispy, cheesy, lacy-edged egg, corn, cotjia cheese, cilantro, pickled onions and sauce all piled into a tortilla with refried beans.",melti quesadillastyl chees roast corn tortilla egg pickl red onion cilantro aji verd refri black bean cotjia chees,35 minutes
https://pinchofyum.com/wp-content/uploads/Chimichurri-Shrimp-6-183x183.jpg,Chimichurri Shrimp with Rice and Tzatziki,4.4,"Saucy, punchy, and delightful Chimichurri Shrimp! Served with a tomato salad, a pile of hot steamy rice, and a dollop of creamy tzatziki.",chile tzatziki cherri tomato parsley oregano garlic bread rice red wine vinegar shrimp,25 minutes
https://pinchofyum.com/wp-content/uploads/Creamy-Baked-Orzo-Square-183x183.png,Creamy Baked Orzo with Meatballs,4.1,"Chewy little pasta bites with a nostalgic-feeling tomato base and bits of garlic butter peeking through. Parm sprinkle, basil leaves, and you’re good to go!",cherri tomato veget chicken broth garlic orzo basil chicken meatbal tomato soup butter parmesan chees,45 minutes
https://pinchofyum.com/wp-content/uploads/Kale-Apple-Salad-8-2-1-Square-183x183.jpg,Kale Apple Salad with Crispy Shallots,4,"I love this Kale Apple Salad! Kale, brussels sprouts, rosemary cashews, apples, fried bread cheese, crispy shallots, and crisp apple maple dressing!",salad girl crisp appl mapl dress garlic bread chees rosemari cashew shallot honeycrisp appl kale brussel sprout,25 minutes
https://pinchofyum.com/wp-content/uploads/Chicken-Wontons-in-Spicy-Chili-Sauce-Square-183x183.png,Chicken Wontons in Spicy Chili Sauce,4.3,"Big, beautiful, bossy flavors ahead! Shiitake mushrooms and chicken wontons swim in a brothy flavor-filled sauce and get finished with a swirl of sesame oil and chili crisp on top. Yum!",shiitak mushroom sesam seed garlic green onion chili crisp chicken broth wonton teriyaki sauc,15 minutes
https://pinchofyum.com/wp-content/uploads/Red-Curry-Chicken-Stir-Fry-Square-183x183.png,Red Curry Chicken Stir Fry with Spicy Cashew Sauce,4.4,"Caramelized red curry chicken sits next to a bed of hot, fluffy rice and steamed broccoli and then totally sauced up with the BEST spicy cashew sauce. Ooof, this is so, so good. ",chicken breast cornstarch red curri past garlic brown sugar steam broccoli floret juic lime rice garlic powder black pepper sriracha soy sauc mapl syrup ginger past ginger,40 minutes
https://pinchofyum.com/wp-content/uploads/Zucchini-Muffins-Square-183x183.jpg,Feel-Good Zucchini Muffins,4.1,"The BEST healthy zucchini muffins – made with all the yummy feel-good ingredients: oats, zucchini, dates, maple syrup, and olive oil. Just blitz up in a blender and pour! YUM.",roll oat egg real mapl syrup zucchini chocol chip medjool date bake soda,25 minutes
https://pinchofyum.com/wp-content/uploads/Pumpkin-Caramel-Monkey-Bread-Square-183x183.png,Pumpkin Caramel Monkey Bread,4.2,"Soft, buttery bites coated in gooey pumpkin caramel sauce and a drizzle of white chocolate. My family loves this pumpkin caramel monkey bread!",cream granul sugar white chocol chip brown sugar buttermilk biscuit cinnamon pumpkin pure vanilla,35 minutes
https://pinchofyum.com/wp-content/uploads/English-Muffin-Baklava-Square-183x183.png,English Muffin Baklava,4.4,"Perfectly toasted English muffins get topped with an extra thick, extra chunky crispy-chewy nutty sugary topping. Absolutely heavenly and works for breakfast, snack, or as an after-dinner treat.",muffin walnut pistachio brown sugar honey mascarpon chees butter,10 minutes
https://pinchofyum.com/wp-content/uploads/Roasted-Peanut-Kale-Crunch-Salad-Square-183x183.png,Roasted Peanut Kale Crunch Salad,4.3,"OOOH BABY, this salad is so good! Crunchy kale and cabbage, fresh herbs and fresno peppers, chopped peanuts, and a perfect roasted peanut vinaigrette that tucks into all the salad nooks and crannies. ",rice vinegar fresno pepper garlic green onion sugar cilantro black pepper peanut green cabbag kale,15 minutes
https://pinchofyum.com/wp-content/uploads/Aji-Verde-Square-183x183.png,Aji Verde,4.6,"This Aji Verde is the most addicting spicy green sauce! It is SO good on tacos, bowls, salads, grilled meats and veggies, and my personal favorite – scrambled eggs and hash browns.",garlic juic lime queso fresco cilantro mayo jalapeo pepper,5 minutes
https://pinchofyum.com/wp-content/uploads/Pickled-Onions-Square-183x183.png,My Go-To Pickled Red Onions,4.4,"These pickled red onions are super fast, super easy, and add a beautiful tangle of tangy onion flavor just about to any recipe!",sugar red onion roughli white vinegar,5 minutes
https://pinchofyum.com/wp-content/uploads/Gochujang-Chicken-Burgers-Square-183x183.png,Gochujang Chicken Burgers with Kimchi Bacon Jam,4.1,"Wow wow wow! These Gochujang Chicken Burgers are next-level good. And a perfectly sweet-spicy kimchi bacon jam piled high on top? Yes, please!",cucumb brown sugar bacon bun mayo kimchi chicken garlic powder cilantro green panko breadcrumb chees gochujang sauc,30 minutes
https://pinchofyum.com/wp-content/uploads/Grilled-Chicken-with-Pepperoncini-Garlic-Butter-Square-183x183.png,Grilled Chicken with Pepperoncini Garlic Butter,4.4,"This is such a fun one! Grilled marinated chicken, a quick tomato cucumber salad, tangy bits of feta, and a zippy pepperoncini garlic butter sauce poured over the whole thing.",chicken breast cucumb cherri grape tomato pepperoncini chive feta garlic onion powder quarter red onion paprika garlic powder hummu pepperoncini brine butter pita bread,35 minutes
https://pinchofyum.com/wp-content/uploads/Blueberry-Matcha-Latte-Square-183x183.png,Blueberry Matcha Latte,4.1,Sweet summery drink perfection! Yummy blueberry syrup mixed into a matcha oat milk latte makes for the perfect iced drink for summertime. Yum!,oat milk matcha choic realli jade leaf matcha latt matcha sugar sugar blueberri,5 minutes
https://pinchofyum.com/wp-content/uploads/Basil-Sauce-Square-183x183.png,Very Incredible Basil Sauce,4.5,"Punchy, salty, bright green sauce packed with fresh basil, chives, garlic, and a bit of oregano. This sauce can be poured out just about anything!",chive oregano garlic basil mayo lemon juic parmesan chees,10 minutes
https://pinchofyum.com/wp-content/uploads/Trader-Joes-Sun-Dried-Tomato-Focaccia-Turkey-Sandwich-Square-183x183.png,Trader Joe’s Sun-Dried Tomato Focaccia Turkey Sandwich,4.3,"Pillowy sun-dried tomato focaccia gets piled with pesto mayo, turkey, juicy tomato slices, and greens. This sandwich is a beauty and practically a lifestyle!",loaf trader joe sundri tomato focaccia deli turkey pesto red onion tomato mayo hand green sprout,20 minutes
https://pinchofyum.com/wp-content/uploads/Garlic-Shrimp-and-Tomatoes-Square-183x183.png,Garlic Shrimp and Tomatoes with Parmesan Orzo,4.4,Shrimp laced with buttery garlic and thyme and a burst tomato sauce served on a creamy Parmesan orzo.,cherri tomato shrimp shrimp garlic orzo parmesan butter lemon juic,50 minutes
https://pinchofyum.com/wp-content/uploads/Salmon-with-Basil-Sauce-Square-183x183.png,Salmon with Basil Sauce and Tomato Salad,4.2,"Summery salmon with a beautiful, big-flavored basil sauce and a simple little tomato salad.",spinach spring green chive cherri tomato oregano granul sugar salmon filet garlic onion powder ear sweet corn paprika chive parsley garlic powder rice grain basil mayo lemon juic parmesan chees,40 minutes
https://pinchofyum.com/wp-content/uploads/Teriyaki-Burgers-9-1-183x183.jpg,Chicken Teriyaki Burgers with Sesame Slaw,4.5,"These Chicken Teriyaki Burgers are amazingly simple while also being ridiculously delicious. Caramelized burgers that are fried up in minutes, a pile of sesame slaw on top, and a perfectly toasted bun. YUM.",rice vinegar brioch bun green onion chicken sugar garlic powder sauc panko breadcrumb cabbag teriyaki sauc,25 minutes
https://pinchofyum.com/wp-content/uploads/Kimchi-Tuna-Salad-Square-183x183.png,Kimchi Tuna Salad Wraps,4.6,"Creamy, crunchy, tangy! It’s a Kimchi Tuna Salad Wrap! Packed with tuna, kewpie mayo, kimchi, avocado, cucumbers, and a bit of chili crisp – all snuggled into a wrap. So, so good! ",cucumb tuna ginger past kewpi mayo whole grain wrap brown sugar sesam seed furikak kimchi chili crisp avocado,10 minutes
https://pinchofyum.com/wp-content/uploads/Chili-Crisp-Tofu-Square-183x183.png,Chili Crunch Tofu,4.2,"Crispy baked tofu tossed with a 2-ingredient sweet, sticky, and spicy chili sauce!",cornstarch tofu green onion chili crisp honey rice sauc soy sauc,25 minutes
https://pinchofyum.com/wp-content/uploads/Really-Good-Non-Alcoholic-Margarita-Square-183x183.png,A Really Good Non-Alcoholic Margarita,4.3,"This non-alcoholic margarita is AMAZING! Made with jalapeño cilantro simple syrup, lime juice, tonic water, and zero alcohol.",jalapeo cilantro simpl syrup jalapeo granul sugar lime juic tajin cilantro sugar,10 minutes
https://pinchofyum.com/wp-content/uploads/Avocado-Mojo-Bowls-Square-183x183.png,Avocado Mojo Bowls with Sweet Potato,4.5,"We are living our best bowl life this week. Seasoned sweet potato wedges and chicken meatballs or rotisserie chicken all piled onto a plate with a little puddle of punchy green avocado mojo sauce. Yes, wow, repeat.",white vinegar garlic red onion taco season paprika sweet potato protein choic amylu chicken meatbal hot orang juic cilantro mayo avocado,40 minutes
https://pinchofyum.com/wp-content/uploads/Pickled-Strawberries-Square-183x183.png,Pickled Strawberries,4.3,"Unexpectedly delightful little pops of sweet vinegar-soaked strawberries on grilled sourdough with goat cheese, thyme, and honey!",strawberri thyme peppercorn goat chees honey sugar white balsam vinegar sourdough,10 minutes
https://pinchofyum.com/wp-content/uploads/Salmon-Tacos-Square-183x183.png,Salmon Tacos with Mango Corn Salsa,4.2,"Super easy salmon tacos loaded with a mango, sweet corn, and cucumber salsa! Perfect with black beans or avocado tucked into a corn tortilla.",cucumb corn tortilla refri bean red onion ear sweet corn mango juic lime honey cilantro salmon fillet taco season,25 minutes
https://pinchofyum.com/wp-content/uploads/Chili-Garlic-Pappardelle-Square-183x183.png,Chili Garlic Pappardelle with Smashed Broccoli and Soft Eggs,4.1,"Slippery, spicy, bossy noodles with a minimal-ingredient sauce, topped with a pile of roasty smashed broccoli and a perfectly messy soft egg. Yes, please.",garlic white miso egg honey chili crisp hoisin sauc broccoli black pepper butter egg pappardel,40 minutes
https://pinchofyum.com/wp-content/uploads/Stephs-Chickpea-Curry-Square-183x183.png,Steph’s Chickpea Curry with Spinach and Rice,4.4,"Amazingly creamy, saucy chickpea curry served over rice with a dollop of chili crisp and a side of cucumber salad. Ready in 20 minutes!",jasmin rice chickpea full fat coconut milk garlic brown sugar spinach cilantro red curri past soy sauc,25 minutes
https://pinchofyum.com/wp-content/uploads/Miso-Crunch-Salad-Square-183x183.png,Miso Crunch Salad,4.4,"This Miso Crunch Salad is made for springtime! Major crunch for veggies like cabbage and kale, a tiny bite of heat from chili-flavored peanuts, chilled shrimp, and the perfect sweet miso dressing. ",tuscan kale garlic white miso lime juic green onion sugar shrimp chiliflavor peanut cilantro green cabbag avocado,10 minutes
https://pinchofyum.com/wp-content/uploads/Red-Chile-Tostadas-with-Eggs-Square-183x183.png,Red Chile Tostadas with Eggs,4.3,"We’re making Red Chile Tostadas with Eggs! We’re talking creamy, crunchy, drippy, and tangy – the absolute perfect flavor combination. ",corn tortilla red enchilada sauc refri bean pickl red onion egg cilantro cheddar chees avocado,20 minutes
https://pinchofyum.com/wp-content/uploads/Cilantro-Orange-Chicken-61-Square-183x183.jpg,Cilantro Orange Chicken with Rice and Beans,4.3,"This golden Cilantro Orange Chicken is so flavorful, crisped to golden brown perfection, and just very finger-licking good! Served with rice, beans, and a quick homemade pineapple salsa.",white vinegar refri regular black bean garlic brown sugar pineappl cilantro wood metal skewer pouch yellow rice boneless skinless chicken thigh juic orang,30 minutes
https://pinchofyum.com/wp-content/uploads/butter-chicken-3-square-183x183.jpg,Butter Chicken Meatballs,4.2,These butter chicken meatballs are covered in a rich and mildly spiced tomato gravy that is made luxurious with just a little bit of butter and cream. Serious weeknight magic!,cream cumin crush tomato plain tomato sauc ginger chicken turkey meatbal garlic garam masala basmati rice turmer paprika sugar cilantro onion butter,20 minutes
https://pinchofyum.com/wp-content/uploads/Carrot-Cake-Coffee-Cake-Square-183x183.jpg,Carrot Cake Coffee Cake,4.5,"Carrot Cake Coffee Cake! A super easy batter loaded with shredded carrots, topped with a thick crumbly cinnamony streusel, and finished with a melty sweet honey butter.",granul sugar brown sugar carrot cinnamon egg flour bake soda butter,55 minutes
https://pinchofyum.com/wp-content/uploads/Favorite-Browned-Butter-Chocolate-Chip-Cookies-Square-183x183.jpg,Favorite Browned Butter Chocolate Chip Cookies,4.5,"Favorite Browned Butter Chocolate Chip Cookies! Browned butter and brown sugar caramelly goodness, crispy edges, barely thick and soft centers, and melty little puddles of chocolate chips.",bake powder chocol chip chocol brown sugar egg white sugar flour vanilla bake soda,1 hour 5 minutes
https://pinchofyum.com/wp-content/uploads/salmon-burgers-recipe-183x183.jpg,Salmon Burgers with Slaw,4.6,These salmon burgers are THE YUMMIEST! and made with just five ingredients. The best for a quick + easy high protein lunch or dinner.,salmon herb chive breadcrumb egg squeez lemon juic plain greek yogurt garlic powder white distil vinegar green cabbag herb,15 minutes
https://pinchofyum.com/wp-content/uploads/Sopa-Tarasca-Square-183x183.png,Sopa Tarasca (Pinto Bean Soup) with Jalapeño Corn Fritters,4.5,"Let’s make Sopa Tarasca! It’s a creamy, silky Mexican-inspired soup made with pinto beans, warm chili spices, and whole tomatoes. And you NEED a big pile of the jalapeño corn fritters on top. Drooling over this one! ",cornstarch whole tomato cumin jalapeo garlic pinto bean ancho chili powder corn flour cotija chees onion,40 minutes
https://pinchofyum.com/wp-content/uploads/Ginger-Peanut-Chicken-Square-183x183.jpg,Ginger Peanut Chicken with Coconut Rice,4.4,"Juicy, quick-marinated, Ginger Peanut Chicken on a bed of THE MOST LUSH coconut jasmine rice, with speckles of crunchy peanuts, bright fresh cilantro, and lime squeezes.",coconut milk ginger garlic brown sugar juic lime green onion spinach white jasmin rice cilantro roast peanut chicken thigh,25 minutes
https://pinchofyum.com/wp-content/uploads/Strawberry-White-Chocolate-Chip-Cookies-Square-183x183.jpg,Strawberry White Chocolate Cookies,4.3,These are HUGE Strawberry White Chocolate Cookies speckled with creamy and rich white chocolate chips and beautifully balanced with tart freeze-dried strawberries. Grab your baking essentials and let’s go! ,vanilla extract granul sugar white chocol chip brown sugar egg flour bake soda butter freezedri strawberri,25 minutes
https://pinchofyum.com/wp-content/uploads/Couscous-Skillet-Square-183x183.png,"Pearl Couscous Skillet with Tomatoes, Chickpeas, and Feta",4.2,"Steamy, saucy goodness! This Couscous Skillet is packed with vibrant flavors and freshness. Pearl couscous, tomatoes, chickpeas, spices, kale, and a bunch of fresh herbs and feta on top. ",cumin chive crumbl feta chees chickpea shallot mapl syrup red wine vinegar tomato mint kale pearl couscou,30 minutes
https://pinchofyum.com/wp-content/uploads/Bistro-Salad-62-2-183x183.jpg,Liz’s Bistro Salad,4.4,"Crunchy, light, bright, and ultra-fresh. This French-inspired bistro salad is an absolute star as a side for nearly any dinner. Tender greens, fresh herbs, pickled onions, and a delicate vinaigrette on top. ",dijon mustard mayo purpos emulsifi dress chive white red wine vinegar romain heart tarragon red onion dill sugar butter lettuc lemon juic,45 minutes
https://pinchofyum.com/wp-content/uploads/7-Layer-Beet-Salad-Square-183x183.png,7-Layer Beet Salad,4.5,"This 7-Layer Beet Salad is a stunner! Studded with cooked beets, supremed oranges, chopped pistachios, creamy truffle ricotta, and a bit of fresh mint. So fresh, so good!  ",orang mint herb balsam dress beet pistachio shallot kale truffl ricotta ricotta chees,15 minutes
https://pinchofyum.com/wp-content/uploads/Cream-Cheese-Danishes-Square-183x183.png,Cream Cheese Danishes with Sugared Cranberries and Vanilla Butter Glaze,4.5,Everything about these cream cheese danishes will bring holiday joy to your kitchen! Twirls of crescent dough layered with cream cheese and baked with a pool of strawberry jam and a buttery glaze on top to finish. Add in those sugared cranberries to bring it right over the top! ,vanilla extract granul sugar cream chees cranberri roll crescent roll powder sugar egg milk jam fruit spread,30 minutes
https://pinchofyum.com/wp-content/uploads/Ginger-Chicken-Meatball-Sandos-Square-183x183.png,Ginger Chicken Meatball Sandos,4.3,"Golden brown chicken meatballs cozied up next to fixings like cucumbers, shallots, kewpie mayo, mint, a bit of chili crisp*, and some fresh cilantro to make the ultimate chicken sando!",cornstarch cucumb chili crisp sriracha ginger soft bread soft french bread flatbread pita naan serrano pepper garlic fish sauc brown sugar mayo kewpi cilantro chicken mint shallot red onion,40 minutes
https://pinchofyum.com/wp-content/uploads/Gnochi-Feature-1-183x183.jpg,Instant Pot Short Rib Ragu,4.4,"Instant Pot Short Rib Ragu! Ready in an hour. AMAZING on gnocchi, pasta, polenta, rice, potatoes, and more.",garlic pasta gnocchi onion crush red pepper marinaraspaghetti sauc red wine bonein short rib,55 minutes
https://pinchofyum.com/wp-content/uploads/vegetarian-shepherds-pie-recipe-183x183.jpg,Vegetarian Shepherd’s Pie,4.5,"Vegetarian Shepherd’s Pie ♡ saucy mushrooms, carrots, and peas topped with creamy mashed potatoes. Real food meets comfort food!",yukon gold potato thyme rosemari carrot pea shallot red wine full fat greek yogurt flour veggi broth bay leaf mushroom tomato past,55 minutes
https://pinchofyum.com/wp-content/uploads/House-Favorite-Brussels-Sprouts-Square-183x183.png,House Favorite Roasted Brussels Sprouts,4.6,These House Favorite Brussels Sprouts are the best side veg and are speckled with bright bursts of cranberries and nutty walnuts. The perfect addition to any meal! ,hand cranberri hand walnut dijon mustard mapl syrup brussel sprout,25 minutes
https://pinchofyum.com/wp-content/uploads/Instant-Pot-Mac-and-Cheese-Square-183x183.jpg,Instant Pot Mac and Cheese,4.5,Instant Pot Mac and Cheese – made with just 5 real food ingredients. This is SO MUCH BETTER (and easier) than any mac and cheese I’ve ever had! Unreal.,whole milk chees butter elbow pasta,10 minutes (+ 10 minutes resting)
https://pinchofyum.com/wp-content/uploads/Corn-Casserole-Square-183x183.jpg,Everybody’s Favorite Corn Casserole,4.4,"Corn Casserole all zazzed up! Bursty bites of cream-style corn and sweet corn plus garlic, bacon, and cheese throughout – so you know it’s really, really good! ",bake powder creamstyl corn chive butter cornmeal garlic sour cream sharp white cheddar egg corn flour sugar onion bacon,1 hour 10 minutes
https://pinchofyum.com/wp-content/uploads/Salted-Caramel-Rice-Krispie-Bars-Square-183x183.jpg,Salted Caramel Rice Krispie Bars,4.3,"Salted Caramel Rice Krispie Bars! Perfectly chewy, crispy, caramelly, buttery, soft, and exactly as over-the-top as you need them to be. ",rice krispi crispi rice cereal whip cream brown sugar marshmallow,15 minutes
https://pinchofyum.com/wp-content/uploads/Cashew-Chicken-Square-183x183.jpg,Cashew Chicken,4.1,"Saucy, sticky, crispy, sweet and savory Cashew Chicken! Just like your favorite takeout, but made easy at home. Served with steamy rice and broccoli.",cornstarch white vinegar ginger granul sugar garlic cashew paprika flour hoisin sauc sriracha soy sauc boneless skinless chicken breast,30 minutes
https://pinchofyum.com/wp-content/uploads/Chicken-Orzo-Tomato-Soup-Square-183x183.jpg,Chicken Orzo Tomato Soup,4.6,"This soup is the perfect ode to fall! Chicken meets orzo in an almost tomato soup form plus lots of bread dips, of course. Let’s go! ",cream italian season pesto garlic bread chicken chicken broth parmesan orzo pasta tomato past,30 minutes
https://pinchofyum.com/wp-content/uploads/Chipotle-Orange-Shrimp-Square-183x183.png,Chipotle Orange Shrimp with Cilantro Rice,4.3,Chipotle Orange Shrimp with Cilantro Rice! Tender shrimp in a sweet-meets-smoky cream sauce piled high on cilantro-speckled rice with a side of tangy cucumbers. ,cream orang cumin cucumb white vinegar garlic white rice sugar shrimp chipotl pepper cilantro,30 minutes
https://pinchofyum.com/wp-content/uploads/Harissa-Meatballs-with-Whipped-Feta-Square-183x183.png,Harissa Meatballs with Whipped Feta,4.2,"These Harissa Meatballs with Whipped Feta are perfect for an easy SOS dinner! Store-bought meatballs, bell peppers, zucchini, harissa, and whipped feta all in one bowl. YUMMY!",lemon cream chees sour cream plain yogurt harissa past garlic feta chees zucchini hummu pita bell pepper kalamata oliv meatbal,45 minutes
https://pinchofyum.com/wp-content/uploads/Apricot-Sesame-Tofu-Square-183x183.jpg,Sesame Apricot Tofu,4.3,"Torn-up tofu pan-fried into crispiness and made saucy, sticky, and sweet into this Sesame Apricot Tofu. An easy, simple vegetarian dinner that’s deliciously saving my life!",cornstarch rice vinegar apricot preserv cumin steam green bean garlic tofu rice chive andor cilantro soy sauc,40 minutes
